customer_id,signup_date,region,acquisition_channel,segment
CUST-00001,2025-02-02,South,Paid Search,New
CUST-00002,2025-10-10,Northeast,Email,New
CUST-00003,2025-08-27,West,Email,New
CUST-00004,2025-06-10,West,Paid Search,Returning
CUST-00005,2025-06-08,South,Display,Returning
CUST-00006,2025-11-10,South,Paid Search,Returning
CUST-00007,2025-02-01,South,Affiliate,Returning
CUST-00008,2025-09-12,West,Organic/Direct,New
CUST-00009,2025-03-15,Midwest,Paid Social,New
CUST-00010,2025-02-04,Northeast,Display,Returning
CUST-00011,2025-07-12,South,Paid Search,New
CUST-00012,2025-12-23,South,Organic/Direct,Returning
CUST-00013,2025-09-26,Northeast,Organic/Direct,New
CUST-00014,2025-10-05,South,Paid Search,New
CUST-00015,2025-09-19,Northeast,Affiliate,VIP
CUST-00016,2025-10-14,West,Email,New
CUST-00017,2025-07-07,Northeast,Email,New
CUST-00018,2025-02-16,Northeast,Display,Returning
CUST-00019,2025-11-03,Northeast,Email,Returning
CUST-00020,2025-06-14,Northeast,Affiliate,VIP
CUST-00021,2025-07-02,Midwest,Paid Search,VIP
CUST-00022,2025-05-16,Northeast,Paid Social,Returning
CUST-00023,2025-03-08,Midwest,Organic/Direct,New
CUST-00024,2025-12-05,Northeast,Paid Search,New
CUST-00025,2025-10-13,Midwest,Affiliate,Returning
CUST-00026,2025-08-24,Midwest,Paid Search,New
CUST-00027,2025-05-27,Midwest,Organic/Direct,VIP
CUST-00028,2025-10-28,Midwest,Affiliate,Returning
CUST-00029,2025-07-19,Northeast,Paid Social,New
CUST-00030,2025-06-11,Northeast,Paid Social,New
CUST-00031,2025-06-14,Northeast,Paid Social,Returning
CUST-00032,2025-03-24,South,Organic/Direct,New
CUST-00033,2025-02-03,West,Email,New
CUST-00034,2025-07-22,West,Email,Returning
CUST-00035,2025-11-21,Midwest,Display,New
CUST-00036,2025-01-24,South,Paid Social,New
CUST-00037,2025-11-10,Midwest,Paid Social,Returning
CUST-00038,2025-10-30,South,Paid Social,Returning
CUST-00039,2025-04-12,South,Paid Search,New
CUST-00040,2025-08-19,West,Display,VIP
CUST-00041,2025-03-02,West,Organic/Direct,VIP
CUST-00042,2025-10-04,Midwest,Organic/Direct,New
CUST-00043,2025-09-13,South,Organic/Direct,New
CUST-00044,2025-05-10,West,Email,Returning
CUST-00045,2025-01-25,Midwest,Paid Social,New
CUST-00046,2025-12-21,West,Affiliate,Returning
CUST-00047,2025-06-12,Northeast,Organic/Direct,Returning
CUST-00048,2025-11-22,West,Display,New
CUST-00049,2025-09-05,South,Email,Returning
CUST-00050,2025-10-12,Northeast,Affiliate,New
CUST-00051,2025-10-05,South,Display,VIP
CUST-00052,2025-03-13,Northeast,Organic/Direct,New
CUST-00053,2025-05-13,South,Display,VIP
CUST-00054,2025-06-20,South,Paid Social,New
CUST-00055,2025-07-01,South,Paid Social,Returning
CUST-00056,2025-01-16,West,Email,VIP
CUST-00057,2025-07-19,Northeast,Paid Social,New
CUST-00058,2025-02-26,Midwest,Organic/Direct,New
CUST-00059,2025-09-29,Midwest,Email,Returning
CUST-00060,2025-09-07,Northeast,Email,Returning
CUST-00061,2025-12-03,Midwest,Paid Social,New
CUST-00062,2025-09-29,Northeast,Affiliate,New
CUST-00063,2025-05-14,Midwest,Email,Returning
CUST-00064,2025-12-20,Midwest,Paid Search,New
CUST-00065,2025-05-30,West,Organic/Direct,Returning
CUST-00066,2025-04-29,Midwest,Paid Social,New
CUST-00067,2025-11-27,West,Paid Social,New
CUST-00068,2025-05-16,Midwest,Paid Search,Returning
CUST-00069,2025-01-28,Midwest,Email,New
CUST-00070,2025-06-21,Midwest,Display,VIP
CUST-00071,2025-10-18,Midwest,Organic/Direct,Returning
CUST-00072,2025-03-11,Northeast,Paid Search,New
CUST-00073,2025-06-18,Midwest,Organic/Direct,New
CUST-00074,2025-02-17,Northeast,Display,New
CUST-00075,2025-09-08,Midwest,Paid Social,Returning
CUST-00076,2025-06-23,South,Paid Search,Returning
CUST-00077,2025-05-01,Midwest,Paid Social,Returning
CUST-00078,2025-03-24,West,Organic/Direct,New
CUST-00079,2025-07-26,Northeast,Paid Social,New
CUST-00080,2025-09-02,West,Email,New
CUST-00081,2025-12-10,South,Display,Returning
CUST-00082,2025-06-09,West,Organic/Direct,New
CUST-00083,2025-02-28,West,Affiliate,New
CUST-00084,2025-10-31,Northeast,Display,New
CUST-00085,2025-08-18,South,Paid Search,New
CUST-00086,2025-09-13,Northeast,Organic/Direct,Returning
CUST-00087,2025-02-05,West,Paid Social,Returning
CUST-00088,2025-04-25,South,Paid Search,VIP
CUST-00089,2025-10-08,Northeast,Organic/Direct,New
CUST-00090,2025-10-31,West,Paid Search,Returning
CUST-00091,2025-06-08,Northeast,Paid Search,New
CUST-00092,2025-10-21,South,Affiliate,Returning
CUST-00093,2025-11-04,South,Paid Social,Returning
CUST-00094,2025-05-22,Northeast,Paid Search,New
CUST-00095,2025-11-24,South,Affiliate,Returning
CUST-00096,2025-04-16,West,Display,New
CUST-00097,2025-03-29,Northeast,Display,New
CUST-00098,2025-09-07,South,Paid Search,New
CUST-00099,2025-08-21,Northeast,Email,New
CUST-00100,2025-02-21,South,Organic/Direct,Returning
CUST-00101,2025-10-31,Northeast,Paid Search,Returning
CUST-00102,2025-03-14,West,Paid Search,Returning
CUST-00103,2025-10-21,West,Paid Search,Returning
CUST-00104,2025-01-03,Northeast,Email,Returning
CUST-00105,2025-10-18,Midwest,Paid Search,New
CUST-00106,2025-10-15,South,Display,New
CUST-00107,2025-10-12,South,Organic/Direct,New
CUST-00108,2025-08-31,Midwest,Paid Search,VIP
CUST-00109,2025-06-22,Northeast,Affiliate,VIP
CUST-00110,2025-09-15,Northeast,Paid Search,Returning
CUST-00111,2025-04-12,West,Paid Search,New
CUST-00112,2025-10-12,Midwest,Display,New
CUST-00113,2025-07-22,West,Paid Social,Returning
CUST-00114,2025-06-17,Midwest,Organic/Direct,New
CUST-00115,2025-07-04,West,Email,Returning
CUST-00116,2025-07-27,Northeast,Paid Search,New
CUST-00117,2025-01-14,Northeast,Email,New
CUST-00118,2025-02-21,West,Paid Search,Returning
CUST-00119,2025-03-31,West,Organic/Direct,VIP
CUST-00120,2025-02-11,Midwest,Affiliate,Returning
CUST-00121,2025-06-10,Midwest,Paid Social,New
CUST-00122,2025-09-01,Midwest,Email,New
CUST-00123,2025-08-27,Midwest,Affiliate,VIP
