order_id,order_date,customer_id,channel,campaign_id,order_amount,discount_pct,discount_amount,payment_method,refund_flag,refund_amount,refund_date,chargeback_flag
ORD-000001,2025-01-01,CUST-00911,Paid Search,CMP-0002,129.81,0.0,0.0,Credit Card,False,0.0,,False
ORD-000031,2025-01-01,CUST-00349,Affiliate,CMP-0006,104.69,0.15,15.7,Debit Card,True,88.99,2025-01-07,False
ORD-000032,2025-01-01,CUST-01970,Affiliate,CMP-0006,63.07,0.0,0.0,PayPal,False,0.0,,False
ORD-000033,2025-01-01,CUST-01654,Display,CMP-0007,85.0,0.05,4.25,Credit Card,False,0.0,,False
ORD-000034,2025-01-01,CUST-02641,Display,CMP-0007,59.52,0.0,0.0,Credit Card,False,0.0,,False
ORD-000035,2025-01-01,CUST-02428,Display,CMP-0007,61.28,0.0,0.0,Debit Card,False,0.0,,False
ORD-000036,2025-01-01,CUST-01887,Organic/Direct,,148.58,0.0,0.0,Buy Now Pay Later,False,0.0,,False
ORD-000037,2025-01-01,CUST-01408,Organic/Direct,,152.56,0.1,15.26,Credit Card,False,0.0,,False
ORD-000038,2025-01-01,CUST-04183,Organic/Direct,,107.05,0.15,16.06,Credit Card,False,0.0,,False
ORD-000039,2025-01-01,CUST-01573,Organic/Direct,,93.01,0.0,0.0,Debit Card,False,0.0,,False
ORD-000040,2025-01-01,CUST-01157,Organic/Direct,,41.19,0.0,0.0,Credit Card,False,0.0,,True
ORD-000042,2025-01-01,CUST-02969,Organic/Direct,,71.07,0.0,0.0,PayPal,False,0.0,,False
ORD-000043,2025-01-01,CUST-00856,Organic/Direct,,64.62,0.1,6.46,Credit Card,False,0.0,,False
ORD-000044,2025-01-01,CUST-01559,Organic/Direct,,68.54,0.0,0.0,Credit Card,False,0.0,,False
ORD-000045,2025-01-01,CUST-00085,Organic/Direct,,76.94,0.0,0.0,Debit Card,False,0.0,,False
ORD-000046,2025-01-01,CUST-01734,Organic/Direct,,57.27,0.05,2.86,PayPal,False,0.0,,False
ORD-000047,2025-01-01,CUST-03949,Organic/Direct,,113.24,0.05,5.66,Debit Card,False,0.0,,False
ORD-000048,2025-01-01,CUST-02020,Organic/Direct,,120.92,0.05,6.05,Debit Card,False,0.0,,False
ORD-000049,2025-01-01,CUST-02579,Organic/Direct,,169.22,0.0,0.0,Credit Card,False,0.0,,False
ORD-000050,2025-01-01,CUST-00704,Organic/Direct,,99.31,0.0,0.0,Credit Card,False,0.0,,False
ORD-000051,2025-01-01,CUST-00449,Organic/Direct,,58.44,0.1,5.84,Debit Card,False,0.0,,False
ORD-000052,2025-01-01,CUST-01997,Organic/Direct,,94.2,0.0,0.0,Credit Card,False,0.0,,False
ORD-000053,2025-01-01,CUST-02388,Organic/Direct,,184.3,0.15,27.64,Credit Card,False,0.0,,False
ORD-000054,2025-01-01,CUST-00305,Organic/Direct,,129.03,0.15,19.35,Debit Card,False,0.0,,False
ORD-000055,2025-01-01,CUST-01107,Organic/Direct,,191.24,0.15,28.69,Credit Card,False,0.0,,False
ORD-000056,2025-01-01,CUST-01016,Organic/Direct,,161.92,0.0,0.0,Credit Card,False,0.0,,False
ORD-000030,2025-01-01,CUST-00527,Email,CMP-0005,170.93,0.1,17.09,Credit Card,False,0.0,,False
ORD-000029,2025-01-01,CUST-03000,Email,CMP-0005,104.57,0.0,0.0,Debit Card,False,0.0,,False
ORD-000041,2025-01-01,CUST-00326,Organic/Direct,,112.34,0.15,16.85,Credit Card,False,0.0,,False
ORD-000027,2025-01-01,CUST-01425,Email,CMP-0005,57.44,0.0,0.0,PayPal,False,0.0,,False
ORD-000002,2025-01-01,CUST-02998,Paid Search,CMP-0002,39.13,0.05,1.96,PayPal,True,37.17,2025-01-17,False
ORD-000028,2025-01-01,CUST-03406,Email,CMP-0005,102.04,0.1,10.2,Debit Card,True,91.84,2025-01-10,False
ORD-000004,2025-01-01,CUST-03468,Paid Search,CMP-0002,89.68,0.0,0.0,Debit Card,False,0.0,,False
ORD-000005,2025-01-01,CUST-01907,Paid Search,CMP-0001,290.97,0.0,0.0,PayPal,False,0.0,,False
ORD-000006,2025-01-01,CUST-02518,Paid Search,CMP-0001,161.25,0.0,0.0,PayPal,False,0.0,,False
ORD-000007,2025-01-01,CUST-03102,Paid Search,CMP-0002,115.7,0.05,5.79,Credit Card,False,0.0,,False
ORD-000008,2025-01-01,CUST-00791,Paid Search,CMP-0001,114.61,0.0,0.0,PayPal,False,0.0,,False
ORD-000009,2025-01-01,CUST-01298,Paid Search,CMP-0001,106.33,0.0,0.0,Credit Card,False,0.0,,False
ORD-000010,2025-01-01,CUST-01028,Paid Search,CMP-0002,44.59,0.1,4.46,Credit Card,False,0.0,,False
ORD-000011,2025-01-01,CUST-00160,Paid Search,CMP-0001,95.8,0.15,14.37,Credit Card,False,0.0,,False
ORD-000012,2025-01-01,CUST-01141,Paid Search,CMP-0002,45.54,0.0,0.0,Credit Card,False,0.0,,False
ORD-000013,2025-01-01,CUST-01666,Paid Search,CMP-0001,121.04,0.0,0.0,Credit Card,False,0.0,,False
ORD-000014,2025-01-01,CUST-00459,Paid Search,CMP-0002,133.88,0.2,26.78,Debit Card,False,0.0,,False
ORD-000003,2025-01-01,CUST-03077,Paid Search,CMP-0002,190.65,0.05,9.53,PayPal,False,0.0,,False
ORD-000016,2025-01-01,CUST-01821,Paid Search,CMP-0002,98.39,0.2,19.68,Credit Card,False,0.0,,False
ORD-000015,2025-01-01,CUST-00677,Paid Search,CMP-0001,67.3,0.05,3.37,Credit Card,False,0.0,,False
ORD-000025,2025-01-01,CUST-00652,Email,CMP-0005,57.68,0.0,0.0,PayPal,True,57.68,2025-01-11,False
ORD-000024,2025-01-01,CUST-02859,Email,CMP-0005,46.04,0.05,2.3,Credit Card,True,43.74,2025-01-15,False
ORD-000023,2025-01-01,CUST-03495,Email,CMP-0005,285.14,0.15,42.77,Credit Card,False,0.0,,False
ORD-000022,2025-01-01,CUST-03357,Paid Social,CMP-0003,52.52,0.05,2.63,Credit Card,False,0.0,,False
ORD-000026,2025-01-01,CUST-02034,Email,CMP-0005,63.13,0.0,0.0,Credit Card,False,0.0,,False
ORD-000020,2025-01-01,CUST-00058,Paid Social,CMP-0003,143.25,0.0,0.0,PayPal,False,0.0,,False
ORD-000019,2025-01-01,CUST-00751,Paid Social,CMP-0004,56.43,0.05,2.82,Credit Card,False,0.0,,False
ORD-000018,2025-01-01,CUST-01603,Paid Social,CMP-0003,29.92,0.25,7.48,Credit Card,False,0.0,,False
ORD-000017,2025-01-01,CUST-02579,Paid Search,CMP-0002,61.27,0.0,0.0,Buy Now Pay Later,False,0.0,,False
ORD-000021,2025-01-01,CUST-02437,Paid Social,CMP-0003,144.97,0.0,0.0,PayPal,False,0.0,,False
