spend_id,date,channel,campaign_id,spend_amount
SPEND-000001,2025-01-01,Paid Search,CMP-0001,250.13
SPEND-000002,2025-01-01,Paid Search,CMP-0002,330.04
SPEND-000003,2025-01-01,Paid Social,CMP-0003,532.4
SPEND-000004,2025-01-01,Paid Social,CMP-0004,52.39
SPEND-000005,2025-01-01,Email,CMP-0005,78.4
SPEND-000006,2025-01-01,Affiliate,CMP-0006,143.74
SPEND-000007,2025-01-01,Display,CMP-0007,382.92
SPEND-000008,2025-01-02,Paid Search,CMP-0001,59.21
SPEND-000009,2025-01-02,Paid Search,CMP-0002,429.33
SPEND-000010,2025-01-02,Paid Social,CMP-0003,2.58
SPEND-000011,2025-01-02,Paid Social,CMP-0004,456.53
SPEND-000012,2025-01-02,Email,CMP-0005,100.65
SPEND-000013,2025-01-02,Affiliate,CMP-0006,259.93
SPEND-000014,2025-01-02,Display,CMP-0007,337.74
SPEND-000015,2025-01-03,Paid Search,CMP-0001,138.33
SPEND-000016,2025-01-03,Paid Search,CMP-0002,279.91
SPEND-000017,2025-01-03,Paid Social,CMP-0003,459.95
SPEND-000018,2025-01-03,Paid Social,CMP-0004,37.13
SPEND-000019,2025-01-03,Email,CMP-0005,74.95
SPEND-000020,2025-01-03,Affiliate,CMP-0006,244.81
SPEND-000021,2025-01-03,Display,CMP-0007,358.02
SPEND-000022,2025-01-04,Paid Search,CMP-0001,227.29
SPEND-000023,2025-01-04,Paid Search,CMP-0002,269.24
SPEND-000024,2025-01-04,Paid Social,CMP-0003,83.56
SPEND-000025,2025-01-04,Paid Social,CMP-0004,291.43
SPEND-000026,2025-01-04,Email,CMP-0005,80.69
SPEND-000027,2025-01-04,Affiliate,CMP-0006,188.67
SPEND-000028,2025-01-04,Display,CMP-0007,330.51
SPEND-000029,2025-01-05,Paid Search,CMP-0001,68.63
SPEND-000030,2025-01-05,Paid Search,CMP-0002,301.05
SPEND-000031,2025-01-05,Paid Social,CMP-0003,161.04
SPEND-000032,2025-01-05,Paid Social,CMP-0004,116.19
SPEND-000033,2025-01-05,Email,CMP-0005,63.59
SPEND-000034,2025-01-05,Affiliate,CMP-0006,132.61
SPEND-000035,2025-01-05,Display,CMP-0007,272.89
SPEND-000036,2025-01-06,Paid Search,CMP-0001,616.52
SPEND-000037,2025-01-06,Paid Search,CMP-0002,190.91
SPEND-000038,2025-01-06,Paid Social,CMP-0003,258.23
SPEND-000039,2025-01-06,Paid Social,CMP-0004,113.2
SPEND-000040,2025-01-06,Email,CMP-0005,77.89
SPEND-000041,2025-01-06,Affiliate,CMP-0006,280.09
SPEND-000042,2025-01-06,Display,CMP-0007,270.5
SPEND-000043,2025-01-07,Paid Search,CMP-0001,258.0
SPEND-000044,2025-01-07,Paid Search,CMP-0002,401.07
SPEND-000045,2025-01-07,Paid Social,CMP-0003,1.37
SPEND-000046,2025-01-07,Paid Social,CMP-0004,424.24
SPEND-000047,2025-01-07,Email,CMP-0005,85.27
SPEND-000048,2025-01-07,Affiliate,CMP-0006,222.26
SPEND-000049,2025-01-07,Display,CMP-0007,403.45
SPEND-000050,2025-01-08,Paid Search,CMP-0001,336.16
SPEND-000051,2025-01-08,Paid Search,CMP-0002,104.71
SPEND-000052,2025-01-08,Paid Social,CMP-0003,358.75
SPEND-000053,2025-01-08,Paid Social,CMP-0004,6.15
SPEND-000054,2025-01-08,Email,CMP-0005,95.41
SPEND-000055,2025-01-08,Affiliate,CMP-0006,331.71
SPEND-000056,2025-01-08,Display,CMP-0007,409.2
SPEND-000057,2025-01-09,Paid Search,CMP-0001,663.19
SPEND-000058,2025-01-09,Paid Search,CMP-0002,52.42
SPEND-000059,2025-01-09,Paid Social,CMP-0003,91.32
SPEND-000060,2025-01-09,Paid Social,CMP-0004,621.33
SPEND-000061,2025-01-09,Email,CMP-0005,115.97
SPEND-000062,2025-01-09,Affiliate,CMP-0006,376.24
SPEND-000063,2025-01-09,Display,CMP-0007,387.35
SPEND-000064,2025-01-10,Paid Search,CMP-0001,658.38
SPEND-000065,2025-01-10,Paid Search,CMP-0002,7.05
SPEND-000066,2025-01-10,Paid Social,CMP-0003,239.01
SPEND-000067,2025-01-10,Paid Social,CMP-0004,86.19
SPEND-000068,2025-01-10,Email,CMP-0005,101.02
SPEND-000069,2025-01-10,Affiliate,CMP-0006,242.24
SPEND-000070,2025-01-10,Display,CMP-0007,352.61
SPEND-000071,2025-01-11,Paid Search,CMP-0001,518.25
SPEND-000072,2025-01-11,Paid Search,CMP-0002,139.8
SPEND-000073,2025-01-11,Paid Social,CMP-0003,367.99
SPEND-000074,2025-01-11,Paid Social,CMP-0004,123.96
SPEND-000075,2025-01-11,Email,CMP-0005,60.47
SPEND-000076,2025-01-11,Affiliate,CMP-0006,118.08
SPEND-000077,2025-01-11,Display,CMP-0007,251.06
SPEND-000078,2025-01-12,Paid Search,CMP-0001,99.04
SPEND-000079,2025-01-12,Paid Search,CMP-0002,404.17
SPEND-000080,2025-01-12,Paid Social,CMP-0003,232.64
SPEND-000081,2025-01-12,Paid Social,CMP-0004,183.7
SPEND-000082,2025-01-12,Email,CMP-0005,78.97
SPEND-000083,2025-01-12,Affiliate,CMP-0006,240.85
SPEND-000084,2025-01-12,Display,CMP-0007,273.12
SPEND-000085,2025-01-13,Paid Search,CMP-0001,11.72
SPEND-000086,2025-01-13,Paid Search,CMP-0002,564.97
SPEND-000087,2025-01-13,Paid Social,CMP-0003,371.75
SPEND-000088,2025-01-13,Paid Social,CMP-0004,166.97
SPEND-000089,2025-01-13,Email,CMP-0005,86.98
SPEND-000090,2025-01-13,Affiliate,CMP-0006,253.65
SPEND-000091,2025-01-13,Display,CMP-0007,493.38
SPEND-000092,2025-01-14,Paid Search,CMP-0001,205.19
SPEND-000093,2025-01-14,Paid Search,CMP-0002,408.43
SPEND-000094,2025-01-14,Paid Social,CMP-0003,281.21
SPEND-000095,2025-01-14,Paid Social,CMP-0004,108.34
SPEND-000096,2025-01-14,Email,CMP-0005,106.02
SPEND-000097,2025-01-14,Affiliate,CMP-0006,263.95
SPEND-000098,2025-01-14,Display,CMP-0007,422.57
SPEND-000099,2025-01-15,Paid Search,CMP-0001,408.95
SPEND-000100,2025-01-15,Paid Search,CMP-0002,289.19
SPEND-000101,2025-01-15,Paid Social,CMP-0003,376.91
SPEND-000102,2025-01-15,Paid Social,CMP-0004,198.55
SPEND-000103,2025-01-15,Email,CMP-0005,91.75
SPEND-000104,2025-01-15,Affiliate,CMP-0006,209.55
